"dob","gender","situation","tea","coffee","height","weight","age","meat","fish","raw_fruit","cooked_fruit_veg","chocol","fat"
"1948-10-31","Female","couple","0",3,168,77,77,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","sunflower"
"1931-09-09","Male","single","0",0,181,94,94,"2-3/week.","1/week.","1/day.","2-3/week.","1/day.","olive"
"1963-06-24","Male","single","0",1,172,62,62,"1/day.","2-3/week.","1/day.","1/day.","never","olive"
"1970-06-06","Male","couple","0",0,160,55,55,"1/day.","2-3/week.","1/day.","1/day.","1/day.","margarine"
"1975-07-31","Female","couple","0",0,155,50,50,"1/day.","<1/week.","1/day.","1/day.","never","peanut"
"1944-01-20","Male","couple","0",1,172,81,81,"1/day.","<1/week.","1/day.","1/day.","never","peanut"
"1963-06-04","Female","couple","0",2,160,62,62,"2-3/week.","1/week.","2-3/week.","1/day.","never","sunflower"
"1974-04-23","Female","single","0",1,158,51,51,"1/day.","<1/week.","1/day.","1/day.","<1/week.","sunflower"
"1976-01-08","Female","single","0",2,160,49,49,"2-3/week.","2-3/week.","1/day.","1/day.","2-3/week.","sunflower"
"1955-08-22","Female","single","0",0,164,70,70,"2-3/week.","2-3/week.","4-6/week.","1/day.","never","olive"
"1965-06-07","Female","couple","0",3,153,60,60,"2-3/week.","2-3/week.","2-3/week.","4-6/week.","2-3/week.","sunflower"
"1957-10-29","Male","couple","0",4,169,68,68,"2-3/week.","2-3/week.","<1/week.","4-6/week.","<1/week.","sunflower"
"1960-10-19","Female","single","2",1,165,65,65,"1/day.","1/day.","1/day.","1/day.","2-3/week.","olive"
"1959-12-29","Male","single","0",2,166,66,66,"2-3/week.","1/week.","1/day.","2-3/week.","never","peanut"
"1940-01-22","Male","single","0",3,176,85,85,"1/day.","1/day.","1/day.","1/week.","never","margarine"
"1946-06-15","Male","couple","0",2,180,79,79,"<1/week.","2-3/week.","1/day.","1/day.","<1/week.","butter"
"1950-06-24","Male","single","0",2,174,75,75,"2-3/week.","2-3/week.","1/day.","1/day.","1/day.","butter"
"1965-01-29","Female","single","0",2,160,60,60,"2-3/week.","<1/week.","1/day.","2-3/week.","never","peanut"
"1958-05-02","Female","single","0",1,160,67,67,"2-3/week.","4-6/week.","2-3/week.","1/day.","<1/week.","sunflower"
"1943-07-08","Male","couple","0",0,188,82,82,"4-6/week.","2-3/week.","1/day.","4-6/week.","never","peanut"
"1942-08-24","Female","couple","2",0,160,83,83,"2-3/week.","2-3/week.","1/day.","4-6/week.","2-3/week.","Isio4"
"1958-09-25","Male","couple","0",2,179,67,67,"1/day.","1/week.","1/day.","2-3/week.","2-3/week.","margarine"
"1968-06-27","Female","couple","2",1,157,57,57,"1/day.","1/week.","<1/week.","1/day.","1/day.","sunflower"
"1929-01-09","Male","couple","0",2,188,96,96,"2-3/week.","2-3/week.","1/day.","1/day.","never","margarine"
"1951-05-04","Male","single","0",3,174,74,74,"2-3/week.","1/day.","1/day.","1/day.","1/day.","olive"
"1950-02-28","Male","single","0",2,173,75,75,"1/day.","2-3/week.","1/day.","2-3/week.","1/day.","butter"
"1965-11-11","Female","single","0",3,160,60,60,"4-6/week.","2-3/week.","1/day.","2-3/week.","<1/week.","Isio4"
"1970-09-09","Female","single","0",2,150,55,55,"1/day.","1/week.","1/day.","1/day.","never","peanut"
"1949-09-06","Male","couple","4",1,170,76,76,"4-6/week.","2-3/week.","1/day.","4-6/week.","<1/week.","sunflower"
"1935-04-29","Male","couple","0",3,180,90,90,"1/day.","2-3/week.","1/day.","1/day.","1/day.","sunflower"
"1965-12-21","Female","couple","0",2,152,60,60,"1/day.","2-3/week.","1/day.","4-6/week.","<1/week.","sunflower"
"1951-10-05","Male","couple","0",3,162,74,74,"1/day.","2-3/week.","1/day.","4-6/week.","1/week.","sunflower"
"1961-09-12","Female","couple","1",2,152,64,64,"1/day.","2-3/week.","2-3/week.","1/day.","1/day.","peanut"
"1935-06-01","Male","couple","0",2,165,90,90,"1/day.","1/week.","1/day.","1/day.","1/day.","olive"
"1983-12-14","Female","couple","0",0,154,42,42,"2-3/week.","1/week.","1/week.","1/day.","<1/week.","olive"
"1945-08-08","Male","couple","0",1,173,80,80,"2-3/week.","2-3/week.","4-6/week.","1/day.","1/day.","olive"
"1966-12-22","Female","couple","0",5,153,59,59,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","olive"
"1975-06-02","Female","couple","0",1,175,50,50,"2-3/week.","4-6/week.","1/day.","1/day.","4-6/week.","margarine"
"1962-05-05","Male","couple","0",0,177,63,63,"2-3/week.","4-6/week.","1/day.","1/day.","never","margarine"
"1946-09-05","Male","couple","0",3,172,79,79,"4-6/week.","1/week.","1/day.","1/day.","<1/week.","peanut"
"1955-04-10","Female","couple","4",1,167,70,70,"4-6/week.","1/week.","1/day.","1/day.","<1/week.","peanut"
"1973-09-01","Female","couple","0",2,155,52,52,"2-3/week.","<1/week.","1/day.","4-6/week.","never","sunflower"
"1967-10-29","Female","single","0",0,162,58,58,"2-3/week.","1/week.","<1/week.","1/day.","never","sunflower"
"1971-09-02","Female","single","0",2,156,54,54,"4-6/week.","1/week.","1/day.","1/day.","2-3/week.","sunflower"
"1981-04-03","Female","single","2",0,152,44,44,"2-3/week.","2-3/week.","1/day.","never","1/day.","margarine"
"1967-05-28","Female","single","3",0,156,58,58,"2-3/week.","4-6/week.","1/day.","1/day.","never","olive"
"1963-07-15","Female","couple","0",2,160,62,62,"2-3/week.","2-3/week.","4-6/week.","1/day.","4-6/week.","sunflower"
"1956-10-27","Male","couple","0",2,170,69,69,"2-3/week.","never","4-6/week.","1/day.","never","sunflower"
"1945-09-23","Female","couple","4",0,164,80,80,"2-3/week.","1/week.","2-3/week.","2-3/week.","<1/week.","olive"
"1972-09-15","Female","single","2",0,160,53,53,"2-3/week.","2-3/week.","1/day.","1/day.","never","peanut"
"1950-09-09","Male","couple","0",0,175,75,75,"2-3/week.","2-3/week.","1/day.","1/day.","2-3/week.","peanut"
"1969-05-07","Female","single","0",2,161,56,56,"4-6/week.","2-3/week.","4-6/week.","1/day.","1/day.","margarine"
"1955-09-09","Female","couple","0",2,168,70,70,"4-6/week.","2-3/week.","1/day.","4-6/week.","1/day.","margarine"
"1940-05-24","Male","couple","0",2,175,85,85,"4-6/week.","2-3/week.","1/day.","4-6/week.","1/day.","margarine"
"1940-06-19","Male","single","0",2,186,85,85,"1/week.","4-6/week.","1/day.","1/day.","never","olive"
"1950-04-28","Male","couple","0",2,176,75,75,"4-6/week.","1/week.","4-6/week.","1/day.","never","sunflower"
"1952-11-05","Female","couple","0",2,158,73,73,"4-6/week.","1/week.","4-6/week.","1/day.","never","sunflower"
"1956-01-17","Female","single","0",4,167,69,69,"1/day.","4-6/week.","1/day.","1/day.","1/day.","olive"
"1962-10-19","Male","couple","3",0,186,63,63,"4-6/week.","2-3/week.","1/day.","4-6/week.","4-6/week.","peanut"
"1958-02-04","Female","couple","3",0,165,67,67,"4-6/week.","2-3/week.","1/day.","4-6/week.","1/day.","peanut"
"1956-10-03","Female","couple","0",2,168,69,69,"2-3/week.","2-3/week.","1/day.","1/day.","1/day.","butter"
"1968-09-19","Female","single","0",2,156,57,57,"4-6/week.","1/week.","4-6/week.","4-6/week.","2-3/week.","margarine"
"1935-05-09","Female","single","0",0,164,90,90,"2-3/week.","1/week.","2-3/week.","1/week.","<1/week.","sunflower"
"1980-06-14","Female","single","1",1,163,45,45,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","Isio4"
"1948-07-23","Male","single","0",0,170,77,77,"4-6/week.","4-6/week.","1/day.","<1/week.","1/day.","sunflower"
"1951-04-16","Male","single","0",0,172,74,74,"4-6/week.","<1/week.","1/day.","2-3/week.","1/day.","sunflower"
"1974-06-21","Female","single","4",0,162,51,51,"1/day.","<1/week.","1/day.","4-6/week.","1/day.","sunflower"
"1950-01-29","Female","single","2",1,163,75,75,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","margarine"
"1945-07-18","Male","couple","0",2,178,80,80,"1/day.","2-3/week.","1/week.","2-3/week.","2-3/week.","sunflower"
"1975-11-11","Female","single","0",2,148,50,50,"1/day.","1/week.","1/day.","1/day.","1/day.","sunflower"
"1954-12-26","Female","couple","2",0,155,71,71,"1/day.","1/week.","<1/week.","1/day.","<1/week.","sunflower"
"1960-06-27","Male","couple","2",0,168,65,65,"1/day.","1/week.","<1/week.","1/day.","<1/week.","sunflower"
"1965-09-07","Female","single","0",0,165,60,60,"1/day.","2-3/week.","1/day.","1/day.","1/day.","sunflower"
"1954-07-11","Male","couple","0",0,163,71,71,"4-6/week.","1/week.","4-6/week.","1/day.","1/day.","peanut"
"1975-03-13","Female","couple","0",0,154,50,50,"4-6/week.","1/week.","4-6/week.","1/day.","1/day.","peanut"
"1964-01-26","Female","single","0",1,163,61,61,"1/day.","<1/week.","1/week.","1/day.","1/day.","sunflower"
"1957-11-22","Female","couple","9",0,159,68,68,"4-6/week.","2-3/week.","1/week.","1/day.","never","repesseed"
"1949-04-06","Male","couple","2",1,181,76,76,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","olive"
"1972-05-28","Female","couple","4",1,154,53,53,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","olive"
"1950-01-24","Male","couple","0",2,172,75,75,"2-3/week.","4-6/week.","1/day.","1/day.","<1/week.","olive"
"1967-09-28","Female","couple","2",0,163,58,58,"1/week.","4-6/week.","1/day.","1/day.","2-3/week.","olive"
"1983-10-17","Female","single","1",1,158,42,42,"<1/week.","1/week.","1/day.","1/week.","1/day.","peanut"
"1969-04-10","Female","single","0",3,150,56,56,"4-6/week.","1/week.","1/week.","1/day.","never","peanut"
"1977-02-25","Female","single","0",2,153,48,48,"2-3/week.","2-3/week.","4-6/week.","4-6/week.","4-6/week.","sunflower"
"1970-09-20","Male","couple","0",1,170,55,55,"1/day.","1/week.","1/day.","1/day.","<1/week.","butter"
"1971-08-03","Female","couple","2",3,164,54,54,"1/day.","2-3/week.","1/day.","1/day.","<1/week.","margarine"
"1961-05-08","Male","couple","2",3,165,64,64,"1/day.","2-3/week.","1/day.","1/day.","<1/week.","margarine"
"1987-05-14","Female","single","0",2,151,38,38,"4-6/week.","4-6/week.","1/day.","1/day.","1/day.","margarine"
"1947-06-28","Male","couple","0",1,172,78,78,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","sunflower"
"1961-06-13","Female","couple","0",2,153,64,64,"2-3/week.","1/week.","1/day.","1/day.","<1/week.","sunflower"
"1950-08-13","Male","single","0",1,173,75,75,"4-6/week.","2-3/week.","1/day.","4-6/week.","1/week.","olive"
"1950-06-26","Male","couple","0",3,188,75,75,"1/day.","2-3/week.","1/day.","1/day.","1/day.","sunflower"
"1967-12-02","Female","couple","0",3,160,58,58,"1/day.","2-3/week.","1/day.","1/day.","<1/week.","sunflower"
"1952-06-08","Male","couple","0",3,174,73,73,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","sunflower"
"1985-11-08","Female","couple","0",2,150,40,40,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","sunflower"
"1962-07-24","Female","single","0",2,168,63,63,"2-3/week.","2-3/week.","4-6/week.","1/day.","<1/week.","peanut"
"1970-08-09","Female","couple","2",1,162,55,55,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","peanut"
"1962-08-19","Female","single","10",1,158,63,63,"1/day.","1/week.","1/day.","1/day.","1/day.","sunflower"
"1969-12-17","Female","single","0",2,140,56,56,"2-3/week.","<1/week.","2-3/week.","2-3/week.","4-6/week.","peanut"
"1951-01-14","Male","single","0",3,172,74,74,"1/day.","<1/week.","1/day.","1/day.","2-3/week.","margarine"
"1971-11-01","Female","single","1",0,156,54,54,"2-3/week.","1/day.","1/day.","1/day.","never","olive"
"1965-11-23","Female","family","0",0,160,60,60,"4-6/week.","2-3/week.","1/day.","1/week.","1/week.","sunflower"
"1950-08-21","Male","couple","0",3,170,75,75,"4-6/week.","1/week.","1/day.","1/day.","2-3/week.","peanut"
"1956-10-17","Female","couple","2",0,165,69,69,"1/day.","1/week.","1/day.","1/day.","<1/week.","peanut"
"1955-04-21","Male","couple","0",3,163,70,70,"1/day.","2-3/week.","1/day.","1/day.","1/week.","peanut"
"1975-02-26","Female","couple","0",3,160,50,50,"2-3/week.","1/week.","1/day.","1/day.","<1/week.","peanut"
"1950-05-07","Male","couple","0",3,165,75,75,"2-3/week.","1/week.","1/day.","1/day.","<1/week.","peanut"
"1972-01-13","Female","couple","0",3,156,53,53,"1/day.","<1/week.","1/day.","1/day.","never","sunflower"
"1943-06-14","Male","couple","0",2,178,82,82,"1/day.","1/week.","1/day.","1/day.","1/day.","sunflower"
"1950-11-26","Female","couple","0",4,160,75,75,"4-6/week.","1/week.","1/week.","1/day.","<1/week.","peanut"
"1953-09-26","Female","single","0",3,171,72,72,"1/day.","2-3/week.","1/day.","1/day.","<1/week.","margarine"
"1961-07-22","Female","family","0",1,156,64,64,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","butter"
"1965-03-19","Female","single","0",3,150,60,60,"2-3/week.","2-3/week.","1/day.","2-3/week.","<1/week.","Isio4"
"1972-04-22","Female","single","0",4,162,53,53,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","margarine"
"1958-02-28","Female","couple","3",0,164,67,67,"4-6/week.","2-3/week.","1/day.","1/day.","<1/week.","Isio4"
"1959-08-08","Male","couple","0",2,178,66,66,"4-6/week.","2-3/week.","1/day.","1/day.","<1/week.","Isio4"
"1970-09-18","Female","couple","1",2,166,55,55,"4-6/week.","2-3/week.","1/day.","1/day.","never","butter"
"1965-01-27","Female","single","0",3,151,60,60,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","sunflower"
"1951-11-18","Male","couple","0",2,169,74,74,"2-3/week.","1/week.","1/day.","1/week.","1/week.","sunflower"
"1980-11-30","Female","couple","0",0,155,45,45,"2-3/week.","2-3/week.","1/day.","1/day.","never","margarine"
"1950-01-17","Male","single","0",1,176,75,75,"2-3/week.","2-3/week.","1/day.","1/day.","2-3/week.","olive"
"1951-08-19","Male","single","0",5,171,74,74,"1/day.","1/week.","never","2-3/week.","1/week.","butter"
"1950-08-28","Female","family","0",3,165,75,75,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","sunflower"
"1943-11-11","Male","couple","4",0,176,82,82,"2-3/week.","2-3/week.","1/day.","1/day.","never","olive"
"1970-06-07","Female","single","1",1,158,55,55,"2-3/week.","2-3/week.","2-3/week.","4-6/week.","2-3/week.","peanut"
"1956-07-05","Female","single","0",3,153,69,69,"2-3/week.","2-3/week.","<1/week.","4-6/week.","1/week.","olive"
"1961-11-11","Female","single","0",2,155,64,64,"1/week.","never","1/day.","2-3/week.","never","peanut"
"1960-06-10","Female","single","0",2,155,65,65,"4-6/week.","4-6/week.","1/day.","<1/week.","never","Isio4"
"1965-07-10","Female","single","0",0,169,60,60,"2-3/week.","2-3/week.","1/day.","4-6/week.","1/week.","Isio4"
"1965-05-22","Female","single","2",0,148,60,60,"2-3/week.","<1/week.","2-3/week.","4-6/week.","2-3/week.","sunflower"
"1973-09-26","Female","single","0",0,156,52,52,"4-6/week.","1/week.","never","1/day.","1/day.","sunflower"
"1933-12-18","Male","family","0",2,166,92,92,"1/day.","1/week.","1/day.","1/day.","never","duck"
"1968-05-10","Female","single","0",5,155,57,57,"1/week.","<1/week.","1/week.","4-6/week.","1/day.","sunflower"
"1947-12-05","Female","family","2",1,154,78,78,"4-6/week.","2-3/week.","2-3/week.","1/day.","never","sunflower"
"1947-07-15","Male","single","0",3,164,78,78,"2-3/week.","2-3/week.","1/day.","1/day.","never","olive"
"1969-04-12","Male","couple","0",2,175,56,56,"1/day.","2-3/week.","1/day.","1/day.","<1/week.","duck"
"1954-07-19","Female","couple","0",2,162,71,71,"1/day.","2-3/week.","1/day.","1/day.","never","duck"
"1960-09-25","Female","couple","0",1,158,65,65,"1/week.","1/week.","1/day.","1/day.","1/day.","peanut"
"1974-07-07","Female","couple","0",3,154,51,51,"4-6/week.","2-3/week.","1/day.","1/day.","never","sunflower"
"1955-11-26","Female","single","0",2,160,70,70,"1/day.","2-3/week.","1/day.","1/day.","never","peanut"
"1953-03-24","Female","single","0",2,163,72,72,"1/day.","2-3/week.","1/day.","1/day.","never","peanut"
"1972-12-22","Female","couple","0",1,152,53,53,"2-3/week.","1/week.","1/day.","1/day.","2-3/week.","sunflower"
"1963-08-10","Female","single","0",1,163,62,62,"2-3/week.","2-3/week.","2-3/week.","1/day.","never","Isio4"
"1964-05-07","Female","single","3",1,170,61,61,"<1/week.","1/day.","1/day.","1/day.","1/day.","olive"
"1951-06-15","Male","couple","0",1,182,74,74,"2-3/week.","2-3/week.","1/day.","4-6/week.","1/week.","Isio4"
"1957-07-20","Female","couple","2",1,163,68,68,"2-3/week.","2-3/week.","1/day.","4-6/week.","1/week.","Isio4"
"1950-01-23","Male","couple","0",2,170,75,75,"2-3/week.","2-3/week.","1/day.","4-6/week.","<1/week.","margarine"
"1963-06-27","Female","couple","6",0,158,62,62,"2-3/week.","2-3/week.","1/day.","4-6/week.","never","margarine"
"1935-09-02","Male","couple","0",2,182,90,90,"1/day.","1/week.","1/day.","2-3/week.","<1/week.","olive"
"1961-08-17","Female","family","1",0,164,64,64,"1/day.","2-3/week.","1/day.","1/day.","4-6/week.","olive"
"1957-02-17","Female","single","0",2,156,68,68,"2-3/week.","2-3/week.","1/day.","2-3/week.","<1/week.","butter"
"1934-10-27","Male","couple","0",2,172,91,91,"1/week.","4-6/week.","1/day.","4-6/week.","<1/week.","olive"
"1950-03-19","Male","couple","0",2,162,75,75,"4-6/week.","1/week.","4-6/week.","1/day.","<1/week.","peanut"
"1977-01-01","Female","couple","0",1,150,48,48,"1/day.","2-3/week.","1/day.","1/day.","1/day.","sunflower"
"1960-06-09","Female","single","2",1,160,65,65,"4-6/week.","2-3/week.","4-6/week.","1/day.","4-6/week.","peanut"
"1971-10-11","Female","single","0",2,152,54,54,"2-3/week.","2-3/week.","1/day.","2-3/week.","4-6/week.","margarine"
"1971-03-29","Male","single","0",2,165,54,54,"2-3/week.","2-3/week.","1/day.","1/week.","<1/week.","margarine"
"1962-09-21","Female","couple","0",3,155,63,63,"4-6/week.","2-3/week.","1/day.","1/day.","never","sunflower"
"1958-03-12","Male","couple","0",2,168,67,67,"4-6/week.","2-3/week.","1/day.","1/day.","never","sunflower"
"1962-05-17","Female","family","0",1,154,63,63,"1/day.","1/week.","1/day.","1/day.","never","Isio4"
"1951-05-25","Male","couple","0",0,176,74,74,"2-3/week.","2-3/week.","1/day.","2-3/week.","2-3/week.","butter"
"1972-02-07","Female","single","3",1,154,53,53,"2-3/week.","<1/week.","2-3/week.","<1/week.","4-6/week.","peanut"
"1958-09-14","Male","single","0",2,168,67,67,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","peanut"
"1964-04-21","Female","couple","0",1,163,61,61,"1/week.","1/week.","1/day.","2-3/week.","4-6/week.","Isio4"
"1945-10-08","Male","couple","0",1,177,80,80,"1/week.","1/week.","1/day.","2-3/week.","4-6/week.","Isio4"
"1952-02-26","Male","couple","4",2,168,73,73,"1/week.","4-6/week.","1/day.","2-3/week.","never","olive"
"1960-04-28","Female","single","0",2,171,65,65,"2-3/week.","2-3/week.","1/day.","1/day.","1/day.","olive"
"1963-12-22","Female","single","5",1,160,62,62,"2-3/week.","2-3/week.","4-6/week.","1/day.","1/day.","margarine"
"1961-06-16","Female","single","0",3,168,64,64,"2-3/week.","2-3/week.","1/day.","2-3/week.","1/day.","olive"
"1977-11-22","Female","single","2",2,160,48,48,"1/day.","2-3/week.","1/day.","1/day.","2-3/week.","sunflower"
"1958-02-17","Male","couple","4",1,177,67,67,"4-6/week.","1/day.","<1/week.","1/day.","never","peanut"
"1945-04-07","Female","family","0",2,160,80,80,"2-3/week.","2-3/week.","4-6/week.","4-6/week.","<1/week.","margarine"
"1949-09-12","Male","couple","0",3,165,76,76,"1/day.","<1/week.","1/day.","1/day.","<1/week.","olive"
"1945-06-20","Female","couple","1",0,157,80,80,"1/day.","<1/week.","1/day.","1/day.","<1/week.","sunflower"
"1952-05-02","Male","couple","0",1,176,73,73,"4-6/week.","2-3/week.","1/day.","1/day.","<1/week.","olive"
"1977-04-16","Female","couple","0",1,151,48,48,"4-6/week.","2-3/week.","4-6/week.","1/day.","1/day.","olive"
"1972-01-09","Female","couple","0",5,153,53,53,"4-6/week.","2-3/week.","1/day.","1/day.","<1/week.","olive"
"1961-11-26","Female","couple","2",0,165,64,64,"4-6/week.","2-3/week.","1/day.","4-6/week.","1/day.","olive"
"1940-06-13","Male","couple","0",0,171,85,85,"4-6/week.","2-3/week.","1/day.","4-6/week.","<1/week.","olive"
"1949-06-03","Male","couple","0",5,167,76,76,"2-3/week.","2-3/week.","1/day.","4-6/week.","1/day.","Isio4"
"1967-09-22","Female","couple","2",1,157,58,58,"2-3/week.","2-3/week.","1/day.","4-6/week.","1/day.","Isio4"
"1952-04-28","Female","single","0",1,160,73,73,"4-6/week.","2-3/week.","1/day.","1/day.","<1/week.","Isio4"
"1963-06-13","Female","couple","0",3,163,62,62,"4-6/week.","2-3/week.","4-6/week.","4-6/week.","<1/week.","peanut"
"1951-02-28","Male","couple","0",2,170,74,74,"4-6/week.","2-3/week.","4-6/week.","4-6/week.","<1/week.","peanut"
"1980-10-31","Female","single","0",2,154,45,45,"4-6/week.","2-3/week.","2-3/week.","1/day.","2-3/week.","olive"
"1962-04-14","Female","couple","2",0,159,63,63,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","sunflower"
